"2019/08/30","UCFo4kqllbcQ4nV83WCyraiw","955937","0","55003199"
"2019/08/22","UCFo4kqllbcQ4nV83WCyraiw","809135","0","46014579"
"2019/08/14","UCFo4kqllbcQ4nV83WCyraiw","694634","0","39983549"
"2019/08/06","UCFo4kqllbcQ4nV83WCyraiw","619692","0","36108716"
"2019/07/29","UCFo4kqllbcQ4nV83WCyraiw","589214","0","33775204"
"2019/07/21","UCFo4kqllbcQ4nV83WCyraiw","572146","0","31434997"
"2019/07/13","UCFo4kqllbcQ4nV83WCyraiw","544091","0","28455093"
"2019/07/05","UCFo4kqllbcQ4nV83WCyraiw","450880","0","22691346"
"2019/06/27","UCFo4kqllbcQ4nV83WCyraiw","434523","0","21160048"
"2019/06/19","UCFo4kqllbcQ4nV83WCyraiw","415258","0","18856241"
"2019/06/11","UCFo4kqllbcQ4nV83WCyraiw","393983","0","16401745"
"2019/06/03","UCFo4kqllbcQ4nV83WCyraiw","353688","0","13171591"
"2019/05/26","UCFo4kqllbcQ4nV83WCyraiw","280165","0","9247728"
"2019/05/18","UCFo4kqllbcQ4nV83WCyraiw","221585","0","6052083"
"2019/05/10","UCFo4kqllbcQ4nV83WCyraiw","145348","0","2911046"
"2019/05/02","UCFo4kqllbcQ4nV83WCyraiw","20289","0","192005"
"2019/04/21","UCFo4kqllbcQ4nV83WCyraiw","10491","0","5204"
"2019/04/11","UCFo4kqllbcQ4nV83WCyraiw","9868","0","15458"
"2019/04/03","UCFo4kqllbcQ4nV83WCyraiw","10007","0","7211"
"2019/03/26","UCFo4kqllbcQ4nV83WCyraiw","10428","0","0"
"2019/03/18","UCFo4kqllbcQ4nV83WCyraiw","10478","0","0"
"2019/03/10","UCFo4kqllbcQ4nV83WCyraiw","10537","0","0"
"2019/03/02","UCFo4kqllbcQ4nV83WCyraiw","10590","0","0"
"2019/02/20","UCFo4kqllbcQ4nV83WCyraiw","10649","0","3238"
"2019/02/06","UCFo4kqllbcQ4nV83WCyraiw","10624","0","942528"
"2019/01/29","UCFo4kqllbcQ4nV83WCyraiw","10583","0","938266"
"2019/01/21","UCFo4kqllbcQ4nV83WCyraiw","10570","0","934586"
"2019/01/12","UCFo4kqllbcQ4nV83WCyraiw","10564","0","927083"
"2019/01/04","UCFo4kqllbcQ4nV83WCyraiw","10571","0","921550"
"2018/12/26","UCFo4kqllbcQ4nV83WCyraiw","10588","0","919314"
"2018/12/17","UCFo4kqllbcQ4nV83WCyraiw","10603","0","915655"
"2018/12/07","UCFo4kqllbcQ4nV83WCyraiw","10641","0","911974"
"2018/11/29","UCFo4kqllbcQ4nV83WCyraiw","10677","0","905750"
"2018/11/21","UCFo4kqllbcQ4nV83WCyraiw","10683","0","902822"
"2020/01/06","UCOy5sLcFLqYNqZ1iurp4dCg","64300","0","2093595"
"2019/12/29","UCOy5sLcFLqYNqZ1iurp4dCg","58800","0","1732642"
"2019/12/21","UCOy5sLcFLqYNqZ1iurp4dCg","50100","0","1175487"
"2019/12/12","UCOy5sLcFLqYNqZ1iurp4dCg","36100","0","592468"
"2019/12/04","UCOy5sLcFLqYNqZ1iurp4dCg","9630","0","75054"
"2020/01/12","UCpGpA7mSYmNJjLiJxKso5QA","449000","0","47974234"
"2020/01/04","UCpGpA7mSYmNJjLiJxKso5QA","417000","0","43306101"
"2019/12/27","UCpGpA7mSYmNJjLiJxKso5QA","392000","0","40203547"
"2019/12/19","UCpGpA7mSYmNJjLiJxKso5QA","379000","0","38115282"
"2019/12/10","UCpGpA7mSYmNJjLiJxKso5QA","373000","0","36220476"
"2019/12/01","UCpGpA7mSYmNJjLiJxKso5QA","345000","0","32740967"
"2019/11/23","UCpGpA7mSYmNJjLiJxKso5QA","339000","0","31272081"
"2019/11/15","UCpGpA7mSYmNJjLiJxKso5QA","335000","0","30004140"
"2019/11/07","UCpGpA7mSYmNJjLiJxKso5QA","329000","0","28206421"
"2019/10/30","UCpGpA7mSYmNJjLiJxKso5QA","321000","0","26322513"
"2019/10/22","UCpGpA7mSYmNJjLiJxKso5QA","311000","0","24286216"
"2019/10/14","UCpGpA7mSYmNJjLiJxKso5QA","308000","0","23201478"
"2019/10/06","UCpGpA7mSYmNJjLiJxKso5QA","305000","0","22104647"
"2019/09/28","UCpGpA7mSYmNJjLiJxKso5QA","296000","0","20396983"
"2019/09/20","UCpGpA7mSYmNJjLiJxKso5QA","273000","0","17078183"
"2019/09/10","UCpGpA7mSYmNJjLiJxKso5QA","254109","0","14547168"
"2019/08/30","UCpGpA7mSYmNJjLiJxKso5QA","234183","0","11987405"
"2019/08/20","UCpGpA7mSYmNJjLiJxKso5QA","197454","0","8136757"
"2019/08/11","UCpGpA7mSYmNJjLiJxKso5QA","187140","0","6828427"
"2019/07/30","UCpGpA7mSYmNJjLiJxKso5QA","155084","0","4281559"
"2019/07/21","UCpGpA7mSYmNJjLiJxKso5QA","113434","0","2218108"
"2019/07/12","UCpGpA7mSYmNJjLiJxKso5QA","59800","0","397672"
"2020/01/12","UCr_Zyf2yUXCyk-hUSXFqcaQ","374000","0","33550365"
"2020/01/04","UCr_Zyf2yUXCyk-hUSXFqcaQ","356000","0","32023019"
"2019/12/27","UCr_Zyf2yUXCyk-hUSXFqcaQ","345000","0","31103747"
"2019/12/19","UCr_Zyf2yUXCyk-hUSXFqcaQ","341000","0","30677804"
"2019/12/09","UCr_Zyf2yUXCyk-hUSXFqcaQ","341000","0","30386808"
"2019/12/01","UCr_Zyf2yUXCyk-hUSXFqcaQ","341000","0","30067882"
"2019/11/23","UCr_Zyf2yUXCyk-hUSXFqcaQ","338000","0","29459174"
"2019/11/15","UCr_Zyf2yUXCyk-hUSXFqcaQ","337000","0","28961528"
"2019/11/07","UCr_Zyf2yUXCyk-hUSXFqcaQ","337000","0","28484793"
"2019/10/30","UCr_Zyf2yUXCyk-hUSXFqcaQ","330000","0","27443945"
"2019/10/21","UCr_Zyf2yUXCyk-hUSXFqcaQ","328000","0","26731933"
"2019/10/12","UCr_Zyf2yUXCyk-hUSXFqcaQ","326000","0","26158641"
"2019/10/04","UCr_Zyf2yUXCyk-hUSXFqcaQ","321000","0","25538766"
"2019/09/26","UCr_Zyf2yUXCyk-hUSXFqcaQ","319000","0","25109745"
"2019/09/16","UCr_Zyf2yUXCyk-hUSXFqcaQ","318000","0","24536016"
"2019/08/28","UCr_Zyf2yUXCyk-hUSXFqcaQ","306608","0","22533907"
"2019/08/16","UCr_Zyf2yUXCyk-hUSXFqcaQ","256222","0","19222627"
"2020/01/06","UC_RNTt0woXncVfZMmjK9swA","366000","0","54029783"
"2019/12/29","UC_RNTt0woXncVfZMmjK9swA","340000","0","51238319"
"2019/12/21","UC_RNTt0woXncVfZMmjK9swA","324000","0","49294156"
"2019/12/13","UC_RNTt0woXncVfZMmjK9swA","321000","0","48343257"
"2019/12/05","UC_RNTt0woXncVfZMmjK9swA","315000","0","46979889"
"2019/11/27","UC_RNTt0woXncVfZMmjK9swA","309000","0","45976504"
"2019/11/19","UC_RNTt0woXncVfZMmjK9swA","298000","0","44095646"
"2019/11/11","UC_RNTt0woXncVfZMmjK9swA","286000","0","42566703"
"2019/11/03","UC_RNTt0woXncVfZMmjK9swA","280000","0","41551856"
"2019/10/26","UC_RNTt0woXncVfZMmjK9swA","275000","0","40599316"
"2019/10/18","UC_RNTt0woXncVfZMmjK9swA","266000","0","39037817"
"2019/10/10","UC_RNTt0woXncVfZMmjK9swA","256000","0","37282093"
"2019/10/02","UC_RNTt0woXncVfZMmjK9swA","249000","0","36086902"
"2019/09/24","UC_RNTt0woXncVfZMmjK9swA","244000","0","35277260"
"2019/09/16","UC_RNTt0woXncVfZMmjK9swA","240050","0","34402594"
"2019/09/08","UC_RNTt0woXncVfZMmjK9swA","235334","0","33290320"
"2019/08/31","UC_RNTt0woXncVfZMmjK9swA","230389","0","32031411"
"2019/08/23","UC_RNTt0woXncVfZMmjK9swA","217722","0","29852335"
"2019/08/15","UC_RNTt0woXncVfZMmjK9swA","204370","0","28061915"
"2019/08/07","UC_RNTt0woXncVfZMmjK9swA","199681","0","27286192"
"2019/07/30","UC_RNTt0woXncVfZMmjK9swA","196806","0","26599337"
"2019/07/22","UC_RNTt0woXncVfZMmjK9swA","194417","0","26030729"
"2019/07/14","UC_RNTt0woXncVfZMmjK9swA","178977","0","23845721"
"2019/07/06","UC_RNTt0woXncVfZMmjK9swA","172308","0","22763671"
"2019/06/28","UC_RNTt0woXncVfZMmjK9swA","168708","0","22088773"
"2019/06/20","UC_RNTt0woXncVfZMmjK9swA","165902","0","21515198"
"2019/06/12","UC_RNTt0woXncVfZMmjK9swA","163140","0","20779987"
"2019/06/04","UC_RNTt0woXncVfZMmjK9swA","160846","0","20327972"
"2019/05/27","UC_RNTt0woXncVfZMmjK9swA","157741","0","19753119"
"2019/05/19","UC_RNTt0woXncVfZMmjK9swA","153599","0","19184130"
"2019/05/11","UC_RNTt0woXncVfZMmjK9swA","140247","0","17568811"
"2019/05/03","UC_RNTt0woXncVfZMmjK9swA","130196","0","16502655"
"2019/04/25","UC_RNTt0woXncVfZMmjK9swA","127657","0","16179089"
"2019/04/17","UC_RNTt0woXncVfZMmjK9swA","125724","0","15769530"
"2019/04/09","UC_RNTt0woXncVfZMmjK9swA","113836","0","14476213"
"2019/04/01","UC_RNTt0woXncVfZMmjK9swA","112382","0","14181314"
"2019/03/24","UC_RNTt0woXncVfZMmjK9swA","110155","0","13805495"
"2019/03/16","UC_RNTt0woXncVfZMmjK9swA","108053","0","13461634"
"2019/03/08","UC_RNTt0woXncVfZMmjK9swA","106659","0","13209558"
"2019/02/28","UC_RNTt0woXncVfZMmjK9swA","105345","0","12944672"
"2019/02/20","UC_RNTt0woXncVfZMmjK9swA","104855","0","12755538"
"2019/02/12","UC_RNTt0woXncVfZMmjK9swA","104236","0","12551526"
"2019/02/03","UC_RNTt0woXncVfZMmjK9swA","102136","0","12091762"
"2019/01/26","UC_RNTt0woXncVfZMmjK9swA","97216","0","11467303"
